(0,0,B)
(0,1,B)
(0,2,K)
(0,3,B)
(0,4,B)
(0,5,B)
(0,6,K)
(0,7,K)
(0,8,K)
(0,9,B)
(0,10,K)
(0,11,K)
(0,12,B)
(0,13,B)
(0,14,B)
(0,15,B)
(0,16,B)
(0,17,B)
(0,18,K)
(0,19,K)
(0,20,B)
(0,21,B)
(0,22,B)
(0,23,K)
(0,24,K)
(0,25,B)
(0,26,B)
(0,27,B)
(0,28,B)
(0,29,B)
(0,30,B)
(0,31,B)
(0,32,B)
(0,33,B)
(0,34,B)
(0,35,B)
(0,36,B)
(0,37,K)
(0,38,B)
(0,39,K)
(0,40,B)
(0,41,K)
(0,42,K)
(0,43,B)
(0,44,B)
(0,45,K)
(0,46,K)
(0,47,B)
(0,48,K)
(0,49,B)
(1,0,B)
(1,1,B)
(1,2,B)
(1,3,B)
(1,4,B)
(1,5,B)
(1,6,B)
(1,7,B)
(1,8,B)
(1,9,B)
(1,10,B)
(1,11,K)
(1,12,K)
(1,13,K)
(1,14,B)
(1,15,B)
(1,16,B)
(1,17,B)
(1,18,B)
(1,19,B)
(1,20,B)
(1,21,B)
(1,22,B)
(1,23,K)
(1,24,K)
(1,25,B)
(1,26,B)
(1,27,B)
(1,28,B)
(1,29,K)
(1,30,B)
(1,31,K)
(1,32,B)
(1,33,K)
(1,34,K)
(1,35,K)
(1,36,B)
(1,37,K)
(1,38,K)
(1,39,B)
(1,40,B)
(1,41,B)
(1,42,K)
(1,43,K)
(1,44,K)
(1,45,B)
(1,46,K)
(1,47,B)
(1,48,K)
(1,49,B)
(2,0,K)
(2,1,B)
(2,2,B)
(2,3,B)
(2,4,B)
(2,5,B)
(2,6,B)
(2,7,B)
(2,8,B)
(2,9,B)
(2,10,B)
(2,11,B)
(2,12,B)
(2,13,B)
(2,14,B)
(2,15,B)
(2,16,K)
(2,17,B)
(2,18,K)
(2,19,B)
(2,20,B)
(2,21,B)
(2,22,K)
(2,23,B)
(2,24,B)
(2,25,B)
(2,26,K)
(2,27,B)
(2,28,K)
(2,29,B)
(2,30,B)
(2,31,B)
(2,32,B)
(2,33,B)
(2,34,B)
(2,35,B)
(2,36,K)
(2,37,B)
(2,38,B)
(2,39,B)
(2,40,B)
(2,41,K)
(2,42,B)
(2,43,B)
(2,44,B)
(2,45,B)
(2,46,B)
(2,47,K)
